"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Zedrick Woods","Mississippi",71,205,4.29,34.5,19,122,7,4.15,"S",2019,300,0,0
"A.J. Epenesa","Iowa",77,275,5.04,32.5,17,117,7.34,4.46,"DL",2020,54,3,1
"A.J. Green","Oklahoma State",73,202,4.62,NA,13,NA,NA,NA,"CB",2020,300,0,0
"A.J. Terrell","Clemson",73,195,4.42,34.5,15,129,NA,NA,"CB",2020,300,0,0
"AJ Dillon","Boston College",72,247,4.53,41,23,131,7.19,NA,"RB",2020,62,3,1
"Aaron Fuller","Washington",71,188,4.59,34,NA,118,7.14,NA,"WR",2020,300,0,0
"Adam Trautman","Dayton",77,255,4.8,34.5,18,114,6.78,4.27,"TE",2020,105,2,1
"Akeem Davis-Gaither","Appalachian State",73,224,NA,NA,21,NA,NA,NA,"LB",2020,107,3,1
"Albert Okwuegbunam","Missouri",77,258,4.49,NA,NA,NA,NA,NA,"TE",2020,118,2,1
"Alex Taylor","South Carolina State",80,308,5.09,25,21,116,7.77,4.79,"OL",2020,300,0,0
"Alohi Gilman","Notre Dame",70,201,4.6,32,17,119,6.81,4.08,"S",2020,186,3,1
"Alton Robinson","Syracuse",75,264,4.69,35.5,25,119,7.32,4.32,"DL",2020,148,3,1
"Amik Robertson","Louisiana Tech",68,187,NA,NA,NA,NA,NA,NA,"CB",2020,139,1,1
"Andrew Thomas","Georgia",77,315,5.22,30.5,21,109,7.58,4.66,"OL",2020,4,9,1
"Anfernee Jennings","Alabama",74,256,NA,NA,NA,NA,NA,NA,"LB",2020,87,4,1
"Anthony Gordon","Washington State",74,205,NA,NA,NA,NA,NA,NA,"QB",2020,300,0,0
"Anthony McFarland Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,124,2,1
"Antoine Brooks Jr.","Maryland",71,220,4.64,34.5,18,NA,NA,NA,"S",2020,198,1,1
